EmployeeNumber,Age,Department,JobRole,Cluster,Attrition_Probability,Priority,Num_Actions,Recommendations
1,41,Sales,Sales Executive,1,0.8495328339922251,URGENT,14, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Équilibre vie-travail insuffisant | → Réduction des heures supplémentaires | → Télétravail ou horaires flexibles | → Programme de bien-être |  Surcharge de travail détectée | → Redistribution de la charge de travail | → Embauche d'un support supplémentaire |  Formation insuffisante | → Programme de formation continue | → Certifications professionnelles
4,37,Research & Development,Laboratory Technician,1,0.8407450262164332,URGENT,7, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Salaire en dessous de la moyenne | → Révision salariale recommandée | → Bonus ou avantages supplémentaires
19,28,Research & Development,Laboratory Technician,1,0.9757672563339498,URGENT,10, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Salaire en dessous de la moyenne | → Révision salariale recommandée | → Bonus ou avantages supplémentaires |  Distance domicile-travail importante | → Télétravail partiel ou complet | → Aide au transport
27,36,Sales,Sales Representative,1,0.8571547053054799,URGENT,8, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Satisfaction au travail faible | → Évaluation des tâches et responsabilités | → Possibilité de changement de rôle ou projet | → Formation pour développement de compétences
33,32,Research & Development,Research Scientist,1,0.9566965625645084,URGENT,15, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Satisfaction au travail faible | → Évaluation des tâches et responsabilités | → Possibilité de changement de rôle ou projet | → Formation pour développement de compétences |  Stagnation de carrière | → Plan de développement de carrière | → Évaluation pour promotion | → Nouvelles responsabilités |  Faible implication au travail | → Projets stimulants et motivants | → Reconnaissance et valorisation
42,39,Sales,Sales Representative,1,0.7536975129872088,URGENT,7, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Salaire en dessous de la moyenne | → Révision salariale recommandée | → Bonus ou avantages supplémentaires
45,24,Research & Development,Research Scientist,1,0.8764915661925733,URGENT,10, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Surcharge de travail détectée | → Redistribution de la charge de travail | → Embauche d'un support supplémentaire |  Salaire en dessous de la moyenne | → Révision salariale recommandée | → Bonus ou avantages supplémentaires
47,50,Sales,Sales Representative,1,0.968355315115652,URGENT,7, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Insatisfaction environnement de travail | → Amélioration des conditions de travail | → Changement d'équipe ou de bureau
55,26,Research & Development,Laboratory Technician,1,0.957285424409855,URGENT,16, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Insatisfaction environnement de travail | → Amélioration des conditions de travail | → Changement d'équipe ou de bureau |  Salaire en dessous de la moyenne | → Révision salariale recommandée | → Bonus ou avantages supplémentaires |  Distance domicile-travail importante | → Télétravail partiel ou complet | → Aide au transport |  Faible implication au travail | → Projets stimulants et motivants | → Reconnaissance et valorisation
58,41,Research & Development,Research Director,0,0.8662964186828822,URGENT,11, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Stagnation de carrière | → Plan de développement de carrière | → Évaluation pour promotion | → Nouvelles responsabilités |  Formation insuffisante | → Programme de formation continue | → Certifications professionnelles
64,48,Research & Development,Laboratory Technician,1,0.8202138677351916,URGENT,10, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Insatisfaction environnement de travail | → Amélioration des conditions de travail | → Changement d'équipe ou de bureau |  Salaire en dessous de la moyenne | → Révision salariale recommandée | → Bonus ou avantages supplémentaires
65,28,Research & Development,Laboratory Technician,1,0.8123331839631323,URGENT,7, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Surcharge de travail détectée | → Redistribution de la charge de travail | → Embauche d'un support supplémentaire
90,36,Research & Development,Research Scientist,1,0.8248847248896922,URGENT,10, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Surcharge de travail détectée | → Redistribution de la charge de travail | → Embauche d'un support supplémentaire |  Formation insuffisante | → Programme de formation continue | → Certifications professionnelles
133,37,Human Resources,Human Resources,1,0.8978123257519552,URGENT,11, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Satisfaction au travail faible | → Évaluation des tâches et responsabilités | → Possibilité de changement de rôle ou projet | → Formation pour développement de compétences |  Salaire en dessous de la moyenne | → Révision salariale recommandée | → Bonus ou avantages supplémentaires
137,20,Research & Development,Laboratory Technician,1,0.8692741638440659,URGENT,4, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé
142,25,Sales,Sales Executive,1,0.7591661129775564,URGENT,7, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Formation insuffisante | → Programme de formation continue | → Certifications professionnelles
147,34,Research & Development,Laboratory Technician,1,0.8754589106445692,URGENT,10, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Insatisfaction environnement de travail | → Amélioration des conditions de travail | → Changement d'équipe ou de bureau |  Faible implication au travail | → Projets stimulants et motivants | → Reconnaissance et valorisation
161,56,Research & Development,Research Scientist,1,0.877872546638262,URGENT,4, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé
163,31,Sales,Sales Executive,0,0.8562083877528651,URGENT,14, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Surcharge de travail détectée | → Redistribution de la charge de travail | → Embauche d'un support supplémentaire |  Stagnation de carrière | → Plan de développement de carrière | → Évaluation pour promotion | → Nouvelles responsabilités |  Faible implication au travail | → Projets stimulants et motivants | → Reconnaissance et valorisation
165,58,Research & Development,Healthcare Representative,0,0.9606099363506247,URGENT,11, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Stagnation de carrière | → Plan de développement de carrière | → Évaluation pour promotion | → Nouvelles responsabilités |  Distance domicile-travail importante | → Télétravail partiel ou complet | → Aide au transport
167,19,Sales,Sales Representative,1,0.9883877538885308,URGENT,13, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Surcharge de travail détectée | → Redistribution de la charge de travail | → Embauche d'un support supplémentaire |  Salaire en dessous de la moyenne | → Révision salariale recommandée | → Bonus ou avantages supplémentaires |  Distance domicile-travail importante | → Télétravail partiel ou complet | → Aide au transport
175,31,Sales,Sales Executive,1,0.861349504368495,URGENT,10, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Salaire en dessous de la moyenne | → Révision salariale recommandée | → Bonus ou avantages supplémentaires |  Faible implication au travail | → Projets stimulants et motivants | → Reconnaissance et valorisation
