EmployeeNumber,Age,Department,JobRole,Cluster,Attrition_Probability,Priority,Num_Actions,Recommendations
1,41,Sales,Sales Executive,1,0.8495328339922251,URGENT,14, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Équilibre vie-travail insuffisant | → Réduction des heures supplémentaires | → Télétravail ou horaires flexibles | → Programme de bien-être |  Surcharge de travail détectée | → Redistribution de la charge de travail | → Embauche d'un support supplémentaire |  Formation insuffisante | → Programme de formation continue | → Certifications professionnelles
2,49,Research & Development,Research Scientist,0,0.020600422049104384,Normal,3, Profil stable | → Maintenir les conditions actuelles | → Suivi de routine
4,37,Research & Development,Laboratory Technician,1,0.8407450262164332,URGENT,7, RISQUE ÉLEVÉ D'ATTRITION | → Entretien individuel immédiat avec le manager | → Révision salariale prioritaire | → Plan de rétention personnalisé |  Salaire en dessous de la moyenne | → Révision salariale recommandée | → Bonus ou avantages supplémentaires
5,33,Research & Development,Research Scientist,1,0.13170122346742913,Normal,3, Profil stable | → Maintenir les conditions actuelles | → Suivi de routine
7,27,Research & Development,Laboratory Technician,1,0.08616805089342901,Normal,3, Insatisfaction environnement de travail | → Amélioration des conditions de travail | → Changement d'équipe ou de bureau
8,32,Research & Development,Laboratory Technician,1,0.01324554601844247,Normal,3, Profil stable | → Maintenir les conditions actuelles | → Suivi de routine
10,59,Research & Development,Laboratory Technician,1,0.07045528005903479,Normal,7, Satisfaction au travail faible | → Évaluation des tâches et responsabilités | → Possibilité de changement de rôle ou projet | → Formation pour développement de compétences |  Surcharge de travail détectée | → Redistribution de la charge de travail | → Embauche d'un support supplémentaire
11,30,Research & Development,Laboratory Technician,1,0.055482818029185685,Normal,3, Distance domicile-travail importante | → Télétravail partiel ou complet | → Aide au transport
12,38,Research & Development,Manufacturing Director,0,0.024171107506258217,Normal,3, Distance domicile-travail importante | → Télétravail partiel ou complet | → Aide au transport
13,36,Research & Development,Healthcare Representative,0,0.02524190594723925,Normal,7, Stagnation de carrière | → Plan de développement de carrière | → Évaluation pour promotion | → Nouvelles responsabilités |  Distance domicile-travail importante | → Télétravail partiel ou complet | → Aide au transport
